event_id,timestamp,host,user,event_type,result,src_ip,details
bd35712d-0184-4933-911c-c02f29a013b1,2025-11-02T12:07:12.233110,db01,kavya.sharma,authentication,failure,10.0.148.161,
71776ff3-caa4-4b77-a13e-b70f445f7894,2025-11-04T14:00:42.233110,web01,vihaan.kumar,authentication,success,10.0.73.202,
dda8b101-9a69-4664-b567-69663d80ba33,2025-10-30T07:56:30.233110,db01,aarav.sharma,authentication,success,10.0.89.51,
fa3b217a-a8ad-41cb-a175-bf61e96b717d,2025-11-03T22:25:22.233110,web01,priya.singh,authentication,success,10.0.73.1,
85dcc1cd-73fa-4d6f-b24f-618f40700dab,2025-11-04T08:25:43.233110,db01,ishaan.khan,authentication,success,10.0.117.141,
0ecb7e19-3bff-4769-b3af-f6f777026e42,2025-11-05T03:49:02.233110,auth01,ananya.sharma,authentication,success,10.0.111.209,
889cef87-80c8-4350-9892-1483b37c6120,2025-11-03T00:58:38.233110,app02,ishaan.singh,authentication,failure,10.0.86.39,
6cd3ba3b-fad0-47fd-aeaf-eb7cdc55a3c9,2025-11-05T00:08:54.233110,auth01,sneha.reddy,authentication,success,10.0.220.194,
1001221f-f4a9-4768-99e2-e463b3b7c447,2025-10-31T22:57:02.233110,app02,ishaan.khan,authentication,success,10.0.207.55,
2948e1b7-e46d-42b4-b4e3-41dab0813117,2025-11-03T12:15:29.233110,vm-ubuntu-1,arjun.sharma,authentication,failure,10.0.250.137,
c9ce36f5-0972-47fb-aa5b-7b913bffa7a2,2025-11-04T19:33:23.233110,db01,ananya.sharma,authentication,success,10.0.212.248,
bb793c1f-10d3-40dd-a2ec-d905c3e26f03,2025-11-03T23:37:49.233110,auth01,saanvi.iyer,authentication,success,10.0.130.155,
50fefe57-ea36-4e8a-a3e2-94e1c81dd970,2025-11-02T12:32:43.233110,web01,rohan.reddy,authentication,success,10.0.132.183,
c78d1d60-6be6-4922-ad68-6eb1b43b6c81,2025-11-02T05:49:58.233110,vm-ubuntu-1,priya.sharma,authentication,success,10.0.109.24,
d342f133-2002-4454-bdfc-0d4fa130fcd9,2025-11-04T23:32:23.233110,vm-ubuntu-1,sneha.kumar,authentication,success,10.0.179.150,
6a51c048-7df0-4c65-b330-e8b61bf6ddd5,2025-11-05T04:34:09.233110,db01,sneha.khan,authentication,success,10.0.114.116,
2a8866e7-5133-4068-8779-2867d93b50b3,2025-11-01T04:45:12.233110,db01,vihaan.reddy,authentication,success,10.0.120.162,
0d5497aa-c6c6-424d-8d84-de38ade39011,2025-10-30T17:28:58.233110,app02,rohan.patel,authentication,success,10.0.175.130,
5389922c-8cd3-4f45-b3fb-2d7d5e29fc66,2025-10-31T06:22:01.233110,db01,ishaan.singh,authentication,success,10.0.216.124,
3e18c2b6-166b-4d09-8cf6-428bc8702dbd,2025-10-29T15:31:45.233110,auth01,aarav.reddy,authentication,success,10.0.28.47,
2cbf24cb-39fb-41e8-9a1c-62a00aaeeeaa,2025-11-05T06:25:37.233110,db01,kavya.singh,authentication,success,10.0.131.90,
6bb1eac2-46bb-48e9-abdc-1bf2ba4c5217,2025-11-03T20:09:18.233110,auth01,vihaan.khan,authentication,success,10.0.138.207,
